idno	translation	other-identifier	author-name	num-authors	author-gender	author-nationality	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	collection	subgenre	type	ISBN	status	counter	read	Bemerkungen	protagonists	narration	setting-type	setting-place	setting-time	translator(s)	title-original	publ-original	Startkorpus	Duplikat prüfen	scifi	sentimental	policier	blanche
Andrevon_Desert	no		Andrevon, Jean-Pierre	1	male	FRA	Le désert du monde		1977	1977	1970s	Denoël	Présence du futur	scifi	populaire	(unknown)	tei	1													yes	no	no	no
Andrevon_Faudra	no		Andrevon, Jean-Pierre	1	male	FRA	Il faudra bien se résoudre à mourir seul		1983	1983	1980s	Denoël	Présence du Futur	scifi	populaire	2-207-30363-2	tei	1													yes	no	no	no
Andrevon_Gandahar	no		Andrevon, Jean-Pierre	1	male	FRA	Gandahar et l’oiseau-monde		1997	1997	1990s	Hachette	Vertige science-fiction	scifi	populaire	2-01-209634-4	tei	1													yes	no	no	no
Andrevon_Oreille	no		Andrevon, Jean-Pierre	1	male	FRA	L'oreille contre les murs		1980	1980	1980s	Denoël	Présence du Futur	scifi	populaire	(unknown)	tei	1													yes	no	no	no
Andrevon_Trace	no		Andrevon, Jean-Pierre	1	male	FRA	La trace des rêves		1988	1988	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	2-277-22372-7	tei	1													yes	no	no	no
Arden_Capri	yes		Arden, Jenny	1	female	GBR	Capri nostalgie		1991	1991	1990s	Harlequin	Azur	sentimental	populaire	2-280-00901-3	tei	1	no	S. 37f.: umgeknickte Seite						Corrèze, Maica	This time, forever	1989			no	yes	no	no
Assada_Coffret			Assada, Marie-Louise	1	female	FRA	Le coffret inca		1977	1977	1970s	Tallandier	Arc-en-Ciel	sentimental	populaire	(unknown)	tei	1													no	yes	no	no
Assada_Soir			Assada, Marie-Louise	1	female	FRA	Un soir, à Ceylan...		1977	1977	1970s	Tallandier	Arc-en-Ciel	sentimental	populaire	(unknown)	tei	1													no	yes	no	no
Ayerdhal_Geneses			Ayerdhal	10			Genèses		1996	1996	1990s	J'ai lu		scifi	populaire	2-290-04279-X	tei	1		Sammlung von Kurzgeschichten											yes	no	no	no
Ayerdhal_Histrion	no		Ayerdhal	1	male	FRA	L'histrion	1993	1993	1993	1990s	J'ai lu	Science-fiction	scifi	populaire	2-277-23526-1	tei	1													yes	no	no	no
Bachellerie_Ile	no		Bachellerie, Louise	1	female	FRA	L'île aux muettes		1985	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1613-6	tei	1													no	no	yes	no
Ballard_Vent	yes		Ballard, James Graham	1	male	GBR	Amoureuse malgré elle		1977	1977	1970s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01850-7	tei	1		Kapitel nicht durchgehend erkannt						Lathière, René	The Wind from Nowhere				yes	no	no	no
Ballard_Vermillion	yes		Ballard, James Graham	1	male	GBR	Vermillion Sands	1975	1979	1975	1970s			scifi	populaire	2-253-02311-6	tei	1													yes	no	no	no
Barnard_Attachement	yes		Barnard, Robert	1	male	GBR	Attachement fatal		1995	1995	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2435-X	tei	1								Hamel, Annie	Fatal attachment				no	no	yes	no
Barr_Feu	yes		Barr, Nevada	1	female	USA	Le feu du ciel		1997	1997	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2755-3	tei	1		Kapitel 1 - 9 nicht erkannt							Firestorm				no	no	yes	no
Bartlett_Allie	yes		Bartlett, Kay	1	female	USA	L'allié de l'ombre		1990	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	9-78228-0832489	tei	1		Titelblatt herausgerissen  Dépot légal février 1990						(unknown)	(unknown)				no	yes	no	no
Bass_Humanite	yes		Bass, T.J.	1	male	USA	Humanité et demie	1975	1979	1975	1970s			scifi	populaire	2-253-02208-X	tei	1													yes	no	no	no
BatailleG_Bleu	no		Bataille, Georges	1	male	FRA	Le bleu du ciel		1999	1999	1990s	Gallimard	Collection l'imaginaire	blanche	blanche	2-07-072328-3	tei	1	no	Kapitel innerhalb der Teile nicht erkannt											no	no	no	yes
Bataille_Valerie	no		Bataille, Thierry	1	male	FRA	Valérie		1987	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	2-265-03566-1	tei	1	no	Kapitel nicht erkannt											no	yes	no	no
Beckett_Mercier	no	rv0181	Beckett, Samuel	1	male	IRL	Mercier et Camier	1970		1970	1970s	(unknown)	(unknown)	blanche	blanche	(unknown)	tei	1													no	no	no	yes
Behm_Cherche	yes		Behm, Marc	1	male	USA	Et ne charche pas à savoir	1993	1996	1993	1990s	Rivages	Rivages/Noir	policier	populaire	2-7436-0021-7	tei	1								de Chergé, Gérard	Seek to Know no More	1993			no	no	yes	no
Belfiore_Fille	no		Belfiore, Robert	1	male	FRA	Une fille de Caïn	1985	1985	1985	1980s	J'ai lu	Science-fiction	scifi	populaire	2-277-21800-6	tei	1													yes	no	no	no
Belfiore_Huiteme	no		Belfiore, Robert	1	male	FRA	La huitème vie du chat	1987	1987	1987	1980s	J'ai lu	Science-fiction	scifi	populaire	9782277222781	tei	1													yes	no	no	no
Bellemare_Aventuriers			Bellemare, Pierre / Antoine, Jacques	2	male	FRA	Les Aventuriers	1978	2013	1978	1970s	Hachette	Le Livre De Poche	blanche		2-253-02385-X	tei	1													no	no	no	yes
Benabou_Pourquoi	no		Bénabou, Marcel	1	male	FRA	Pourquoi je n'ai écrit aucun de mes livres	1986	1986	1986	1980s	Hachette	Textes du XXe siècle	blanche	blanche		tei	1	yes												no	no	no	yes
Benacquista_Saga	no		Benacquista, Tonino	1	male	FRA	Saga		1999	1999	1990s	Gallimard	Folio	blanche	blanche	2-07-040845-0	tei	1		Kapitel nicht erkannt											no	no	no	yes
Bennett_Mots	yes		Bennett, Connie	1	female	USA	Les mots de la nuit		1991	1991	1990s	Harlequin	Collection Or	sentimental	populaire	2-280-07346-3	tei	1	no								Playing by the rules				no	yes	no	no
Benzimra_Revoir	no		Benzimra, André	1	male	FRA	Pour te revoir, Jonathan		1983	1983	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1454-0	tei	1	no	Kapitel nicht erkannt											no	no	yes	no
Bergot_DienBienPhu			Bergot, Erwan	1	male	FRA	Les 170 jours de Diên Biên Phu		1979	1979	1970s	Presses de la Cité - Éditions France Loisirs		blanche		2-7242-062H-2	tei	1													no	no	no	yes
Berthelot_Rivage	no		Berthelot, Francis	1	male	FRA	Rivage des intouchables		1990	1990	1990s	Denoël	Présence du Futur	scifi	populaire	2-207-30507-4	tei	1		Teile und Kapitel											yes	no	no	no
Bielski_Belles	no		Bielski, Nella	1	female	FRA	Si belles et fraîches étaient les roses		1980	1980	1980s	Mercure de France	Folio	blanche	blanche	2-07-037551-X	tei	1													no	no	no	yes
Bird_Sandra	yes		Bird, Kenneth	1	male	GBR	Sandra	1971	1971	1971	1970s	Librairie des Champs-Élysées	Le Masque	policier	populaire		tei	1													no	no	yes	no
Blair_Eaux	yes		Blair, Kathryn	1	female	GBR	Eaux dangereuses		1990	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	9-78228-0832540	tei	1		Titelblatt herausgerissen  Dépôt légal : avril 1990						(unknown)	(unknown)				no	yes	no	no
Blaylock_Homunculus	yes		Blaylock, James P.	1	male	USA	Homunculus	1991	1991	1991	1990s	J'ai lu	Science-fiction	scifi	populaire	2-277-23052-9	tei	1													yes	no	no	no
Bodard_Anne	no		Bodard, Lucien	1	male	FRA	Anne Marie		1981	1981	1980s	Grasset		blanche	blanche	2-246-24241-X	tei	1		Kapitel nicht erkannt											no	no	no	yes
BoileauNarcejac_Carte	no		Boileau, Pierre / Narcejac, Thomas	2	male	FRA	Carte Vermeil		1979	1979	1970s	Gallimard	Folio	blanche	blanche	2-07-037212-X	tei	1		Kapitel nicht erkannt											no	no	no	yes
BoileauNarcejac_Intouchables	no		Boileau, Pierre / Narcejac, Thomas	2	male	FRA	Les intouchables	1980	1980	1980	1980s	Denoël	Sueurs froides	policier	populaire	2-07-037595-1	tei	1		keine Kapitelüberschriften vorhanden											no	no	yes	no
BoileauNarcejac_Poudriere	no	rv1260	Boileau, Pierre / Narcejac, Thomas	2	male	FRA	La Poudrière [Arsène Lupin]	1974	1987	1974	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
BoileauNarcejac_Second	no	rv1261	Boileau, Pierre / Narcejac, Thomas	2	male	FRA	Le Second Visage d'Arsène Lupin	1975	1986	1975	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
BoileauNarcejac_Secret	no	rv1262	Boileau, Pierre / Narcejac, Thomas	2	male	FRA	Le Secret d'Eunerville	1973	1986	1973	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
BoileauNarcejac_Serment	no	rv1263	Boileau, Pierre / Narcejac, Thomas	2	male	FRA	Le Serment d'Arsène Lupin	1979	1987	1979	1970s	(unknown)	(unknown)	policier	populaire	(unknown)	tei	1													no	no	yes	no
Bon_Enterrement	no	rv0526	Bon, François	1	male	FRA	Enterrement	1991		1991	1990s	(unknown)	(unknown)	blanche	blanche	(unknown)	tei	1													no	no	no	yes
Bon_Limite	no	rv0527	Bon, François	1	male	FRA	Limite	1985		1985	1980s	(unknown)	(unknown)	blanche	blanche	(unknown)	tei	1													no	no	no	yes
Bon_Sortie	no	rv0531	Bon, François	1	male	FRA	Sortie Usine	1982		1982	1980s	(unknown)	(unknown)	blanche	blanche	(unknown)	tei	1													no	no	no	yes
Bon_Temps	no	rv0529	Bon, François	1	male	FRA	Temps Machine	1993		1993	1990s	(unknown)	(unknown)	blanche	blanche	(unknown)	tei	1													no	no	no	yes
Boswell_Amour	yes		Boswell, Barbara	1	female	USA	L'amour à la une		1988	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	2-258-2073-5	tei	1	no	Kapitel nicht erkannt						Lataillade, Christophe	Whatever it takes	1986			no	yes	no	no
Bouchard_Astronef	no		Bouchard, Nicolas	1	male	FRA	Astronef aux enchères		1999	1999	1990s	Fleuve noir	SF space	scifi	populaire	2-265-06752-0	tei	1													yes	no	no	no
Boulanger_Confession	no		Boulanger, Daniel	1	male	FRA	La confession d'Omer		1991	1991	1990s	Gallimard	Folio	blanche	blanche	2-07-038767-4	tei	1		keine Kapitelüberschriften vorhanden											no	no	no	yes
Boulle_Vertus	no		Boulle, Pierre	1	male	FRA	Les vertus de l'enfer		1974	1974	1970s	Flammarion	Le Livre De Poche	blanche		2-253-01405-2	tei	1													no	no	no	yes
Bourin_Amours	no		Bourin, Jeanne	1	female	FRA	Les amours blessées		1987	1987	1980s	Gallimard	Folio	blanche	blanche	2-07-038119-6	tei	1		Kapitel nicht erkannt											no	no	no	yes
Bourin_Grand	no		Bourin, Jeanne	1	female	FRA	Le Grand Feu		1985	1985	1980s	La Table Ronde	Folio	blanche	blanche	2-07-037925-6	tei	1													no	no	no	yes
Bourin_Peregrines	no		Bourin, Jeanne	1	female	FRA	Les Pérégrines		1989	1989	1980s	Gallimard	Folio	blanche	blanche	2-07-038520-5	tei	1		Kapitel nicht erkannt											no	no	no	yes
Bradley_Chaine	yes		Zimmer Bradley, Marion	1	female	USA	La chaîne brisée	1979	1979	1979	1970s	Albin Michel	Super-Fiction	scifi	populaire	2-226-00721-0	tei	1													yes	no	no	no
Branch_Lion	yes		Branch, Pamela	1	female	GBR	Un lion dans la cave		1993	1993	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2337-X	tei	1								Le Gall, M.A.	Lion in the cellar	1951			no	no	yes	no
Brandon_Fille	yes		Brandon, Joyce	1	female	USA	La fille du bandit		1990	1990	1990s	Harlequin	Grands Romans	sentimental	populaire	2-280-13216-8	tei	1								Esch, Jean	After Eden				no	yes	no	no
Brunner_Chimeres	yes		Brunner, John	1	male	GBR	Les chimères de l'ombre		1982	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01159-6	tei	1								Haas, Dominique	The Gaudy Shadows	1970			yes	no	no	no
Brunner_Noire	yes		Brunner, John	1	male	GBR	Noire est la couleur		1984	1984	1980s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01417-X	tei	1								Pugi, J. P.	Black is the color	1969			yes	no	no	no
Brunner_Ville	yes		Brunner, John	1	male	GBR	La ville est un echiquier		1985	1985	1980s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01560-5	tei	1								Baldy, René	The Squares of the City	1965			yes	no	no	no
Bruss_Planete	no		Bruss, B.-R.	1	male	FRA	La planète aux Oasis		1970	1970	1970s	Fleuve Noir	Anticipation	scifi	populaire	(unknown)	tei	1		Teile und Kapitel											yes	no	no	no
Brussolo_Aussi	no		Brussolo, Serge	1	male	FRA	Aussi lourd que le vent		1981	1981	1980s	Denoël	Présence du Futur	scifi	populaire	(unknown)	tei	1													yes	no	no	no
Brussolo_Portrait	no		Brussolo, Serge	1	male	FRA	Portrait du diable en chapeau melon		1982	1982	1980s	Denoël	Présence du Futur	scifi	populaire	2-207-30348-9	tei	1													yes	no	no	no
Bucheister_Deux	yes		Bucheister, Patt	1	female	USA	Les deux routes		1988	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	2-258-02560-5	tei	1	no	Kapitel nicht erkannt							Two roads				no	yes	no	no
Bucheister_Fortune	yes		Bucheister, Patt	1	female	USA	Fortune irlandaise		1989	1989	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	2-258-02684-9	tei	1	no	Kapitel nicht erkannt							The luck of the Irish				no	yes	no	no
Burchell_Chante	yes		Burchell, Mary	1	female	GBR	Chante mon coeur chante		1972	1972	1970s	Harlequin	Serie Club	sentimental	populaire	(unknown)	tei	1													no	yes	no	no
Burton_Windspear	yes		Burton, Katherine	1	female	USA	Windspear, monde enchanté		1989	1989	1980s	Harlequin	Collection Or	sentimental	populaire	2-280-07272-6	tei	1								(unknown)	Sweet Summer Heat	1987			no	yes	no	no
Busino_Cafe	no		Busino, Jean-Jacques	1	male	CHE	Un café, une cigarette		1994	1994	1990s	Rivages	Rivages/Noir	policier	populaire	2-86930-721-7	tei	1													no	no	yes	no
Cagnati_Genie	no		Cagnati, Inès	1	female	FRA	Génie la folle		1976	1976	1970s	Gallimard	Folio	blanche	blanche	2-07-037114-X	tei	1		keine Kapitelüberschriften vorhanden											no	no	no	yes
Cajio_Double	yes		Cajio, Linda	1	female	USA	Double contrat		1988	1988	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	2-258-02558-3	tei	1	no	Kapitel nicht erkannt						Menanteau, Étienne	Double Dealing	1987			no	yes	no	no
Cajio_Fil	yes		Cajio, Linda	1	female	USA	Un fil de soie		1989	1989	1980s	Presses de la Cité	Collection Passion	sentimental	populaire	2-258-02681-4	tei	1	no	Kapitel nicht erkannt						Villers, Margaux	Silk on the Skin	1988			no	yes	no	no
Calvez_Planete	no		Calvez, Jean-Michel	1	male	FRA	Planète des vents		1997	1997	1990s	Fleuve Noir	SF space	scifi	populaire	2-265 06255.3	tei	1													yes	no	no	no
Canal_Aube	no		Canal, Richard	1	male	FRA	Aube noire	1994	1994	1994	1990s	J'ai lu	Science-fiction	scifi	populaire	2-277-23669-1	tei	1													yes	no	no	no
Canal_Malediction	no		Canal, Richard	1	male	FRA	La Malédiction de l'éphémère	1996	1996	1996	1990s	J'ai lu	Science-fiction	scifi	populaire	2-277-24156-3	tei	1													yes	no	no	no
Canal_Ombres	no		Canal, Richard	1	male	FRA	Ombres blanches	1993	1993	1993	1990s	J'ai lu	Science-fiction	scifi	populaire	2-277-23455-9	tei	1													yes	no	no	no
Card_Enfants	yes		Card, Orson Scott	1	male	USA	Les enfants de l'esprit	1996	2000	1996	1990s	J’ai lu	J'ai lu	scifi	populaire	2-290-30348-8	tei	1													yes	no	no	no
Card_Trilogie	yes		Card, Orson Scott	1	male	USA	La trilogie d'Ender	1991	1993	1991	1990s	Éditions Robert Laffont	J'ai lu	scifi	populaire	2-290-31552-4	tei	1													yes	no	no	no
Cardinal_Grands	no		Cardinal, Marie	1	female	FRA	Les grands désordres		1987	1987	1980s	Grasset		blanche	blanche	2-246-39921-1	tei	1													no	no	no	yes
Cardinal_Mots	no		Cardinal, Marie	1	female	FRA	Les mots pour le dire		1975	1975	1970s	Grasset		blanche		(unknown)	tei	1													no	no	no	yes
Carlisle_Femme	yes		Carlisle, Donna	1	female	USA	Une femme sous influence		1991	1991	1990s	Harlequin	Rouge Passion	sentimental	populaire	2-280-12390-8	tei	1	no							For keeps					no	yes	no	no
Carlisle_Superflic	yes		Carlisle, Donna	1	female	USA	Superflic et superstar		1990	1990	1990s	Harlequin	Rouge Passion	sentimental	populaire	978-2-2801-2306-8	tei	1	no	Titelblatt fehlt  Dépôt légal : mars 1990											no	yes	no	no
Carmichael_Bar	yes		Carmichael, Harry	1	male	GBR	Au bar des trois plumes	1970	1970	1970	1970s	Librairie des Champs-Élysées	Le Masque	policier	populaire		tei	1													no	no	yes	no
Carmichael_Belle	yes		Carmichael, Harry	1	male	GBR	La belle au bois mourant	1970	1970	1970	1970s	Librairie des Champs-Élysées	Le Masque	policier	populaire		tei	1													no	no	yes	no
Carr_Manoir	yes		Carr, John Dickson	1	male	USA	Le manoir de la mort		1991	1991	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2167-9	tei	1		Kapitelüberschriften nicht erkannt						Monrocq, Dominique	Deadly hall				no	no	yes	no
Carr_Service	yes		Carr, John Dickson	1	male	USA	Service des affaires inclassables		1988	1988	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1802-3	tei	1		Kapitel nicht erkannt						(unknown)	The Department of Queer Complaints	1940			no	no	yes	no
Carrere_Moustache	no		Carrère, Emmanuel	1	male	FRA	La moustache		1986	1986	1980s	P.O.L	Folio	blanche	blanche	978-2-07-037883-8	tei	1		keine Kapitelüberschriften vorhanden											no	no	no	yes
Cassidy_Fatale	yes		Cassidy, Carla	1	female	USA	Fatale emprise		1994	1994	1990s	Harlequin	Sixième Sens	sentimental	populaire	2-280-16026-9	tei	1	no	sentimental/fantasy							Heart of the beast				no	yes	no	no
Cassidy_Nuits	yes		Cassidy, Carla	1	female	USA	Les nuits du marécage		1994	1994	1990s	Harlequin	Sixième Sens	sentimental	populaire	2-280-16008-0	tei	1	no	sentimental/fantasy							Swamp secrets				no	yes	no	no
Chambon_Sentinelle	no		Chambon, Jean	1	male	FRA	La sentinelle		1970	1970	1970s	Christian Bourgois		blanche		(unknown)	tei	1													no	no	no	yes
Chance_Chantage	yes		Chance, Sara	1	female	USA	Un chantage à l'amour		1990	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	2-280-83253-4	tei	1		Kapitel nicht durchgehend erkannt						(unknown)	Fire in the Night	1989			no	yes	no	no
Chance_Secret	yes		Chance, Sara	1	female	USA	Ce secret entre nous		1989	1989	1980s	Harlequin	Rouge Passion	sentimental	populaire	2-280-12272-3	tei	1	no								Woman in the shadows				no	yes	no	no
Chandler_Tueur	yes		Chandler, Raymond	1	male	USA	Un tueur sous la pluie		1972	1972	1970s	Gallimard	Série noire	policier	populaire	2-07-043342-0	tei	1		Kapitel nicht durchgehend erkannt						Robillot, Henri	Killer in the Rain				no	no	yes	no
Chapsal_Grands	no		Chapsal, Madeleine	1	female	FRA	Grands cris dans la nuit du couple		1976	1976	1970s	Gallimard	Folio	blanche	blanche	2-07-037359-2	tei	1		keine Kapitelüberschriften vorhanden											no	no	no	yes
Charmasson_Crepuscule	no		Charmasson, Guy	1	male	FRA	Le crépuscule des surhommes	1978	1978	1978	1970s	Marabout	bibliothèque marabout / science-fiction	scifi	populaire		tei	1		keine ISBN											yes	no	no	no
Charriere_Foret	no		Charrière, Christian	1	male	FRA	La forêt d'Iscambe	1993	2007	1993	1990s	Phébus	Fantasy	scifi	populaire	978-2-7578-0327-1	tei	1													yes	no	no	no
Cheng_Dit	no		Cheng, François	1	male	FRA	Le dit de Tian-yi		1998	1998	1990s		(unknown)	blanche	blanche	978-2-253-15101-2	tei	1		Teile und Kapitel											no	no	no	yes
Cheron_Assassin	no		Chéron, Bertrand	1	male	FRA	L'assassin viendra à l'aube	1975	1975	1975	1970s	Librairie des Champs-Élysées	Le Masque	policier	populaire	2-7024-0364-6	tei	1													no	no	yes	no
Cherryh_Retour	yes		Cherryh, C.J.	1	female	USA	Le retour de Chanur	1989	1989	1989	1980s	J'ai lu	Science-fiction	scifi	populaire	2-277-22609-2	tei	1													yes	no	no	no
Cherryh_Seigneurs	yes		Cherryh, C.J.	1	female	USA	Les seigneurs de l'Hydre	1983	1991	1983	1980s	J'ai lu	Science-fiction	scifi	populaire	2-277-21420-5	tei	1													yes	no	no	no
Christophe_Tyran			Christope, Jacques				Ce tyran que j'aimais		1978	1978	1970s	Tallandier	Le Cercle Romanesque	sentimental		(unknown)	tei	1													no	yes	no	no
ClarinardOlliver_Ombre	no		Ollivier Mikael / Clarinard, Raymond	2	male	FRA	L'ombre de Mars	1997	1997	1997	1990s	Fleuve noir	SF space	scifi	populaire	2-265-06183-2	tei	1													yes	no	no	no
Clarinard_Cite	no		Clarinard, Raymond	1	male	FRA	La cité sans mémoire	1998	1998	1998	1990s	Fleuve noir	SF space	scifi	populaire	2-265-06439-4	tei	1													yes	no	no	no
Clarke_Marteau	yes		Clarke, Arthur C.	1	male	USA	Le marteau de Dieu	1995	1995	1995	1990s	J'ai lu	Science-fiction	scifi	populaire	9-782277-239734	tei	1													yes	no	no	no
Clausse_Comme			Clausse, Suzanne	1	female	FRA	Comme un souffle brulant		1978	1978	1970s	Tallandier	(unknown)	sentimental		(unknown)	tei	1													no	yes	no	no
Clausse_Pre			Clausse, Suzanne	1	female	FRA	Le pré des saules		1971	1971	1970s	Tallandier	(unknown)	sentimental		(unknown)	tei	1													no	yes	no	no
Clot_Enfant	no		Clot, René-Jean	1	male	FRA	L'Enfant halluciné		1987	1987	1980s	Grasset		blanche	blanche	2-246-37561-4	tei	1													no	no	no	yes
Coburn_Peines	yes		Coburn, Andrew	1	male	USA	Toutes peines confondues		1992	1992	1990s	Rivages	Rivages/Noir	policier	populaire	2-86930-544-3	tei	1								Reynolds, Pierre	Sweetheart	1985			no	no	yes	no
Cody_Tete	yes		Cody, Liza	1	female	GBR	Sans la tête		1998	1998	1990s	Le Masque	Romans d'aventures	policier	populaire	2-7024-2861-4	tei	1								Retaillaud, Julien	Musclebound				no	no	yes	no
Combescot_Filles	no		Combescot, Pierre	1	male	FRA	Les filles du Calvaire		1991	1991	1990s	Grasset		blanche	blanche	2-246-43541-2	tei	1													no	no	no	yes
Coney_Charisme	yes		Coney, Michaël	1	male	GBR	Charisme		1976	1976	1970s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01798-5	tei	1								Polanis, Jacques	Charisme				yes	no	no	no
Coney_Crocs	yes		Coney, Michaël	1	male	GBR	Les crocs et les griffes		1980	1980	1980s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01664-4	tei	1								Pugi, Jean-Pierre	Les crocs et les griffes	1975			yes	no	no	no
Coney_Immortels	yes		Coney, Michaël	1	male	GBR	Immortels en conserve		1977	1977	1970s	Presses Pocket	Science-Fiction	scifi	populaire	2-266-01304-1	tei	1								Goimard, Jacques	Friends come in Boxes	1973			yes	no	no	no
Constant_Confidence	no		Constant, Paule	1	female	FRA	Confidence pour confidence		1998	1998	1990s	Gallimard	Collection Blanche	blanche	blanche	2-07-075231-3	tei	1		keine Kapitelüberschriften											no	no	no	yes
Constant_Fille	no		Constant, Paule	1	female	FRA	La fille du Gobernator		1994	1994	1990s	Gallimard	Folio	blanche	blanche	2-07-040079-4	tei	1													no	no	no	yes
Cosse_Coin	no		Cossé, Laurence	1	male	FRA	Le coin du voile		1996	1996	1990s	Gallimard	Folio	blanche	blanche	2-07-040540-0	tei	1		Kapitel nicht erkannt											no	no	no	yes
Cosse_Femme	no		Cossé, Laurence	1	female	FRA	La femme du premier ministre		1998	1998	1990s	Gallimard	Folio	blanche	blanche	2-07-075359-X	tei	1													no	no	no	yes
Coupon_Pluie	no		Coupon, Henry	1	male	FRA	La pluie et le beau temps	1977	1977	1977	1970s	Librairie des Champs-Élysées	Le Masque	policier	populaire	2-7024-0677-7	tei	1													no	no	yes	no
Craven_Jamais			Craven, Sara	1	female	GBR	Jamais je ne t'oublierai	1978	1979	1978	1970s	Harlequin	(unknown)	sentimental	populaire	(unknown)	tei	1													no	yes	no	no
Creasey_Sang	yes		Creasey, John	1	male	GBR	Du sang sur les rails	1970	1970	1970	1970s	Librairie des Champs-Élysées	Le Masque	policier	populaire		tei	1													no	no	yes	no
Crispin_Prelude	yes		Crispin, Edmund	1	male	GBR	Prélude et mort d'Isolde		1988	1988	1980s	Le Masque	Romans d'aventures	policier	populaire	2-7024-1845-7	tei	1								André, Jean/Rey, Claudine	The Case of the Gilded Fly	1986			no	no	yes	no
